rowIndex,Projeyi Yapan İşletme,Proje Sahibi İşetme,Proje Türü,Proje Ocianix'te Yayınlanacakmı,Proje İş Alanı,İş Alt Kolu,Proje & Firma & İş  Adı,Proje Açıklama,Proje Dosya Yolu,Web Sitesi,Domain Bitiş Tarihi,Proje İlerleme Drumu,Genel Açıklama,id,status,projectType,progress,websiteUrl,websiteUrlPlaceholder,domainExpiryISO,updatedAt
1,Ocianix,Fevzi Günalp,Web Sitesi,,Sosyal Proje,Düşünürler Arşivi,Anadolu Düşünce Atlası,Önemli Türk düşünürlerin bilgileirni derleme,,https://anadoludusunceatlasi.com/,46488.0,Ara verildi,,row-01-anadolu-dusunce-atlasi,paused,website,30,https://anadoludusunceatlasi.com/,,2027-04-11,
2,Ocianix,Ocianix,SaaS,,CRM Sistem,WhastApp Chat Bot Sistemi,WhasApp Chat Bot,%100 işletmelere göre özelleştirilebilir,,bot.ocianix.com,,Yapım Aşamsında,,row-02-whasapp-chat-bot,in_progress,saas,50,https://bot.ocianix.com,,,
3,Ocianix,Ocianix,Web Sitesi,,Rezervasyon,Otel Rezervasyonu,bulunacak,Kaliteli Oteller için Rezevasyon Sistemi,,Domain alınacak,,Fikir Aşamasında,,row-03-bulunacak,idea,website,0,,Domain alınacak,,
4,Ocianix,Ocianix,Uygulama,Hayır,Firma İçi Uygulama,SEO Analiz Uygulaması,AIOS SEO Engine,Bitmiş web sitelerinin seo analizleirni yapıyor,,https://aios.ocianix.com/,,Bitti - Yayında,,row-04-aios-seo-engine,live,app,100,https://aios.ocianix.com/,,,
5,Ocianix,Ocianix,SaaS,,CRM Sistem,WhastApp CRM Sistemi,WhasApp CRM,%100 işletmelere göre özelleştirilebilir,,https://crm.ocianix.com/,,Yapım Aşamsında,,row-05-whasapp-crm,in_progress,saas,50,https://crm.ocianix.com/,,,
6,Ocianix,Ocianix,Uygulama,,Rezervasyon,Tur Rezervasyonu,Tour Guide Track,Rehberle yönelik tur takip sistemi,,https://tourguidetrack.com/,,Optimizasyonları Kaldı,,row-06-tour-guide-track,optimization,app,85,https://tourguidetrack.com/,,,
7,Ocianix,Ocianix,Web Sitesi,Evet,Dijital Ajans,,,,,ocianix.com,,Optimizasyonları Kaldı,,row-07-dijital-ajans,optimization,website,85,https://ocianix.com,,,
8,Ocianix,Ocianix,Uygulama,Evet,Partner Bulma,Acentelar için Partner Bulma,B2B Travel Finder,Konusuna göre partner bulma,,,,Ara verildi,,row-08-b2b-travel-finder,paused,app,30,,,,
9,Ocianix,Ocianix,Uygulama,,Proje Takip Sistemi,İşletme içi proje takip ,,,D:\8. AI_Projects\1. Ubuntu_Projects\3.proje.ocianix.com,https://proje.ocianix.com/,,Ara verildi,,row-09-i-sletme-ici-proje-takip,paused,app,30,https://proje.ocianix.com/,,,
10,Ocianix,Ocianix,Web Sitesi,Evet,Satış Sitesi,Kapadokya Atölye Çalışmaları,,,,,,Fikir Aşamasında,,row-10-kapadokya-atolye-calismalari,idea,website,0,,,,
11,Ocianix,Synovrix,Uygulama,,Yardımcı Uygulamalar,Fotoğraf Dönüştürücü,İsim Bulunacak,Raw fotoları Jpeg'e çevirecek,,Domain Alınacak,,Fikir Aşamasında,,row-11-i-sim-bulunacak,idea,app,0,,Domain Alınacak,,
12,Ocianix,Synovrix,Web Sitesi,,Bulunacak,,,Reklam getiri amaçlı site yapımı,,Domain Alınacak,,Fikir Aşamasında,,row-12-bulunacak,idea,website,0,,Domain Alınacak,,
13,Ocianix,Synovrix,Uygulama,,Danışmanlık,Seyehat Danışmanı,The Voyari,Kişiselleştirilmiş tatil planı hazırlama,,https://voyari.ocianix.com/,,Yapım Aşamsında,,row-13-the-voyari,in_progress,app,50,https://voyari.ocianix.com/,,,
14,Ocianix,Synovrix,Web Sitesi,,Sosyal Proje,Alternatif dünya düşünürleri,İsim bulunacak ,Gerçek dünya bilgileri yer alacak ,,,,Fikir Aşamasında,Google ADS Alınabilir,row-14-i-sim-bulunacak,idea,website,0,,,,
15,Ocianix,Synovrix,Web Sitesi,,Bulunacak,,,REklam getirisi için,,,,Fikir Aşamasında,,row-15-bulunacak,idea,website,0,,,,
16,Ocianix,Synovrix,Web Sitesi,,Danışmanlık,,,,,,,Fikir Aşamasında,,row-16-danismanlik,idea,website,0,,,,
17,Ocianix,Synovrix,Otomasyon,,Youtube Otomasyonu,,,,,,,Fikir Aşamasında,Eğitim Bakılacak,row-17-youtube-otomasyonu,idea,automation,0,,,,
18,Ocianix,Synovrix,Otomasyon,,Youtube Otomasyonu,,,,,,,Fikir Aşamasında,Eğitim Bakılacak,row-18-youtube-otomasyonu,idea,automation,0,,,,
19,Ocianix,Synovrix,Otomasyon,,Youtube Otomasyonu,,,,,,,Fikir Aşamasında,Eğitim Bakılacak,row-19-youtube-otomasyonu,idea,automation,0,,,,
20,Ocianix,Synovrix,Otomasyon,,Youtube Otomasyonu,,,,,,,Fikir Aşamasında,Eğitim Bakılacak,row-20-youtube-otomasyonu,idea,automation,0,,,,
21,Ocianix,Synovrix,Otomasyon,,Youtube Otomasyonu,,,,,,,Fikir Aşamasında,Eğitim Bakılacak,row-21-youtube-otomasyonu,idea,automation,0,,,,
22,Ocianix,Synovrix,Otomasyon,,Youtube Otomasyonu,,,,,,,Fikir Aşamasında,Eğitim Bakılacak,row-22-youtube-otomasyonu,idea,automation,0,,,,
23,Ocianix,Synovrix,Otomasyon,,Dijital Medya,Fotoğraf Üretme,,İhtiyaca göre en dorğu promtu hazırlayarak otomatik görsel oluşturma,,,,Fikir Aşamasında,,row-23-fotograf-uretme,idea,automation,0,,,,
24,Mustafa,The Véloria,Web Sitesi,,Organizasyon,,Portrait Studio,,,  https://portraitstudio.com,,Yapım Aşamsında,,row-24-portrait-studio,in_progress,website,50,https://portraitstudio.com,,,
25,Mustafa,The Véloria,Web Sitesi,,Organizasyon,,The Classic Whisper,,,classicwhisper.com,,Yapım Aşamsında,,row-25-the-classic-whisper,in_progress,website,50,https://classicwhisper.com,,,
26,Mustafa,The Véloria,Web Sitesi,,Organizasyon,,Corporate Events,,,https://corporateevents.com,,Yapım Aşamsında,,row-26-corporate-events,in_progress,website,50,https://corporateevents.com,,,
27,Mustafa,The Véloria,Web Sitesi,,Organizasyon,,Wedding Planners,,,https://weddingplanners.com,,Yapım Aşamsında,,row-27-wedding-planners,in_progress,website,50,https://weddingplanners.com,,,
28,Mustafa,The Véloria,Web Sitesi,,Organizasyon,,,,,,,Fikir Aşamasında,,row-28-organizasyon,idea,website,0,,,,
29,Mustafa,The Véloria,Web Sitesi,,Organizasyon,,,,,,,Fikir Aşamasında,,row-29-organizasyon,idea,website,0,,,,
30,Ocianix,The Véloria,Web Sitesi,,Fotoğraf Çekimi,Kapadokya Dış Çekimler,Cappadocia Studio,dış çekim paketleri Fiyatlı,,cappadociastudio.com,,Optimizasyonları Kaldı,,row-30-cappadocia-studio,optimization,website,85,https://cappadociastudio.com,,,
31,Ocianix,The Véloria,Web Sitesi,Evet,Organziasyon ,Düğün Organziasyonu,Cappadocia Wedding Planners,,,Domain alınacak,,Taslakta Başlanacak,,row-31-cappadocia-wedding-planners,draft,website,15,,Domain alınacak,,
32,Ocianix,The Véloria,Web Sitesi,Evet,Rezervasyon,Acente Tur Sayfası,Vacation Cappadocia,,,Domain alınacak & Taşınacak,,Ara verildi,,row-32-vacation-cappadocia,paused,website,30,,Domain alınacak & Taşınacak,,
33,Ocianix,The Véloria,Web Sitesi,,Satış Sitesi,Balon Satış Sitesi,Above Cappadocia,sadece balon satışı yer alıyor,,https://abovecappadocia.com/,,Optimizasyonları Kaldı,,row-33-above-cappadocia,optimization,website,85,https://abovecappadocia.com/,,,
34,Ocianix,The Véloria,Web Sitesi,,Fotoğraf Çekimi,Kapadokya Dış Çekimler,FairyLight Studio,Sadece4 hizmet yer alıyor ,,https://fairylightstudio.com/,,Optimizasyonları Kaldı,,row-34-fairylight-studio,optimization,website,85,https://fairylightstudio.com/,,,
35,Ocianix,The Véloria,Web Sitesi,,Organizasyon,Evlilik Teklifi,Kapadokya Teklif,Kapadokya Evlilik Teklifi Paketleri,,https://kapadokyateklif.com/,,Optimizasyonları Kaldı,,row-35-kapadokya-teklif,optimization,website,85,https://kapadokyateklif.com/,,,
36,Ocianix,The Véloria,SaaS,,Rezervasyon,Şirket içi rezervasyon takip sistemi,The Veloria Panel,,,https://panel.kapadokyateklif.com/,,Ara verildi,,row-36-the-veloria-panel,paused,saas,30,https://panel.kapadokyateklif.com/,,,
37,Ocianix,Synovrix,Otomasyon,,Dijital Medya,Video Üretme,,İhtiyaca göre en dorğu promtu hazırlayarak otomatik video oluşturma,,,,Fikir Aşamasında,,row-37-video-uretme,idea,automation,0,,,,
38,Ocianix,Synovrix,Otomasyon,,Dijital Medya,Makale Üretme,,İhtiyaca göre en dorğu promtu hazırlayarak otomatik makale oluşturma,,,,Fikir Aşamasında,,row-38-makale-uretme,idea,automation,0,,,,
39,Ocianix,Synovrix,Web Sitesi,,Rezervasyon,Rehber ürün pazarlama,bulunacak,Rehberele yinelik kaliteli tur pazarlama sitesi,,bulunacak,,Fikir Aşamasında,yarım kalmıştı ,row-39-bulunacak,idea,website,0,,bulunacak,,
40,Ocianix,Synovrix,Otomasyon,,,,,ticari fikir ve ürün üretme otomasyonu GPT'ler ,,,,Fikir Aşamasında,,row-40-proje-40,idea,automation,0,,,,
41,Ocianix,,,,,,,,,,,Fikir Aşamasında,,row-41-proje-41,idea,other,0,,,,
42,Ocianix,,,,,,,,,,,Fikir Aşamasında,,row-42-proje-42,idea,other,0,,,,
43,Ocianix,,,,,,,,,,,Fikir Aşamasında,,row-43-proje-43,idea,other,0,,,,
44,Ocianix,,,,,,,,,,,Fikir Aşamasında,,row-44-proje-44,idea,other,0,,,,
45,Ocianix,,,,,,,,,,,Fikir Aşamasında,,row-45-proje-45,idea,other,0,,,,
46,Ocianix,,,,,,,,,,,Fikir Aşamasında,,row-46-proje-46,idea,other,0,,,,
